Assessment Name,URL,Remote Testing Support,Adaptive/IRT Support,Duration,Test Type
Agile Testing (New),/solutions/products/product-catalog/view/agile-testing-new/,Yes,No,13,Knowledge & Skills
AI Skills,/solutions/products/product-catalog/view/ai-skills/,Yes,No,16,Personality & Behavior
Amazon Web Services (AWS) Development (New),/solutions/products/product-catalog/view/amazon-web-services-aws-development-new/,Yes,No,6,Knowledge & Skills
Android Development (New),/solutions/products/product-catalog/view/android-development-new/,Yes,No,7,Knowledge & Skills
Angular 6 (New),/solutions/products/product-catalog/view/angular-6-new/,Yes,No,11,Knowledge & Skills
AngularJS (New),/solutions/products/product-catalog/view/angularjs-new/,Yes,No,9,Knowledge & Skills
Apache Hadoop (New),/solutions/products/product-catalog/view/apache-hadoop-new/,Yes,No,7,Knowledge & Skills
Apache Hadoop Extensions (New),/solutions/products/product-catalog/view/apache-hadoop-extensions-new/,Yes,No,9,Knowledge & Skills
Apache HBase (New),/solutions/products/product-catalog/view/apache-hbase-new/,Yes,No,,Knowledge & Skills
Apache Hive (New),/solutions/products/product-catalog/view/apache-hive-new/,Yes,No,5,Knowledge & Skills
Apache Kafka (New),/solutions/products/product-catalog/view/apache-kafka-new/,Yes,No,6,Knowledge & Skills
Apache Pig (New),/solutions/products/product-catalog/view/apache-pig-new/,Yes,No,6,Knowledge & Skills
Apache Spark (New),/solutions/products/product-catalog/view/apache-spark-new/,Yes,No,8,Knowledge & Skills
ASP .NET with C# (New),/solutions/products/product-catalog/view/asp-net-with-c-new/,Yes,No,13,Knowledge & Skills
ASP.NET 4.5,/solutions/products/product-catalog/view/asp-net-4-5/,Yes,Yes,4,Knowledge & Skills
Assessment and Development Center Exercises,/solutions/products/product-catalog/view/assessment-and-development-center-exercises/,Yes,No,,Assessment Exercises
Automata - Fix (New),/solutions/products/product-catalog/view/automata-fix-new/,Yes,No,20,Simulations
Automata - SQL (New),/solutions/products/product-catalog/view/automata-sql-new/,Yes,No,30,Simulations
Automata (New),/solutions/products/product-catalog/view/automata-new/,Yes,No,45,Simulations
Automata Data Science (New),/solutions/products/product-catalog/view/automata-data-science-new/,Yes,No,60,Simulations
Automata Data Science Pro (New),/solutions/products/product-catalog/view/automata-data-science-pro-new/,Yes,No,60,Simulations
Automata Front End,/solutions/products/product-catalog/view/automata-front-end/,Yes,No,30,Simulations
Automata Pro (New),/solutions/products/product-catalog/view/automata-pro-new/,Yes,No,60,Simulations
Automata Selenium,/solutions/products/product-catalog/view/automata-selenium/,Yes,No,60,Simulations
Automation Anywhere RPA Development (New),/solutions/products/product-catalog/view/automation-anywhere-rpa-development-new/,Yes,No,8,Knowledge & Skills
Automotive Engineering (New),/solutions/products/product-catalog/view/automotive-engineering-new/,Yes,No,13,Knowledge & Skills
Basic Biology (New),/solutions/products/product-catalog/view/basic-biology-new/,Yes,No,6,Knowledge & Skills
Basic Computer Literacy (Windows 10) (New),/solutions/products/product-catalog/view/basic-computer-literacy-windows-10-new/,Yes,No,10,"Simulations, Knowledge & Skills"
Basic Statistics (New),/solutions/products/product-catalog/view/basic-statistics-new/,Yes,No,10,Knowledge & Skills
Biochemistry (New),/solutions/products/product-catalog/view/biochemistry-new/,Yes,No,,Knowledge & Skills
Biotech Lab Techniques (New),/solutions/products/product-catalog/view/biotech-lab-techniques-new/,Yes,No,5,Knowledge & Skills
BizTalk (New),/solutions/products/product-catalog/view/biztalk-new/,Yes,No,,Knowledge & Skills
Business Communication (adaptive),/solutions/products/product-catalog/view/business-communication-adaptive/,Yes,Yes,24,Knowledge & Skills
Business Communications,/solutions/products/product-catalog/view/business-communications/,Yes,No,35,Knowledge & Skills
C Programming (New),/solutions/products/product-catalog/view/c-programming-new/,Yes,No,,Knowledge & Skills
C# Programming (New),/solutions/products/product-catalog/view/c-programming-new-4039/,Yes,No,,Knowledge & Skills
C++ Programming (New),/solutions/products/product-catalog/view/c-programming-new-4122/,Yes,No,,Knowledge & Skills
Cardiology and Diabetes Management (New),/solutions/products/product-catalog/view/cardiology-and-diabetes-management-new/,Yes,No,4,Knowledge & Skills
Ceramic Engineering (New),/solutions/products/product-catalog/view/ceramic-engineering-new/,Yes,No,12,Knowledge & Skills
Chemical Engineering (New),/solutions/products/product-catalog/view/chemical-engineering-new/,Yes,No,13,Knowledge & Skills
Cisco AppDynamics (New),/solutions/products/product-catalog/view/cisco-appdynamics-new/,Yes,No,9,Knowledge & Skills
Civil Engineering (New),/solutions/products/product-catalog/view/civil-engineering-new/,Yes,No,10,Knowledge & Skills
Cloud Computing (New),/solutions/products/product-catalog/view/cloud-computing-new/,Yes,No,8,Knowledge & Skills
COBOL Programming (New),/solutions/products/product-catalog/view/cobol-programming-new/,Yes,No,,Knowledge & Skills
Computer Science (New),/solutions/products/product-catalog/view/computer-science-new/,Yes,No,12,Knowledge & Skills
Contact Center Call Simulation (New),/solutions/products/product-catalog/view/contact-center-call-simulation-new/,Yes,No,15,Simulations
Conversational Multichat Simulation,/solutions/products/product-catalog/view/conversational-multichat-simulation/,Yes,No,11,Simulations
Core Java (Advanced Level) (New),/solutions/products/product-catalog/view/core-java-advanced-level-new/,Yes,No,13,Knowledge & Skills
Core Java (Entry Level) (New),/solutions/products/product-catalog/view/core-java-entry-level-new/,Yes,No,13,Knowledge & Skills
Count Out The Money,/solutions/products/product-catalog/view/count-out-the-money/,Yes,Yes,5,"Knowledge & Skills, Simulations"
CSS3 (New),/solutions/products/product-catalog/view/css3-new/,Yes,No,8,Knowledge & Skills
Culinary Skills (New),/solutions/products/product-catalog/view/culinary-skills-new/,Yes,No,7,Knowledge & Skills
Customer Service Phone Simulation,/solutions/products/product-catalog/view/customer-service-phone-simulation/,Yes,No,20,"Biodata & Situational Judgement, Simulations"
Customer Service Phone Solution,/solutions/products/product-catalog/view/customer-service-phone-solution/,Yes,No,30,"Biodata & Situational Judgement, Personality & Behavior, Simulations"
Cyber Risk (New),/solutions/products/product-catalog/view/cyber-risk-new/,Yes,No,9,Knowledge & Skills
Data Entry (New),/solutions/products/product-catalog/view/data-entry-new/,Yes,No,4,Simulations
Data Entry Alphanumeric Split Screen - US,/solutions/products/product-catalog/view/data-entry-alphanumeric-split-screen-us/,Yes,No,5,Knowledge & Skills
Data Entry Numeric Split Screen - US,/solutions/products/product-catalog/view/data-entry-numeric-split-screen-us/,Yes,No,5,Knowledge & Skills
Data Entry Ten Key Split Screen,/solutions/products/product-catalog/view/data-entry-ten-key-split-screen/,Yes,No,3,Knowledge & Skills
Data Science (New),/solutions/products/product-catalog/view/data-science-new/,Yes,No,14,Knowledge & Skills
Data Warehousing Concepts,/solutions/products/product-catalog/view/data-warehousing-concepts/,Yes,Yes,25,Knowledge & Skills
Dependability and Safety Instrument (DSI),/solutions/products/product-catalog/view/dependability-and-safety-instrument-dsi/,Yes,No,10,Personality & Behavior
Dermatology (New),/solutions/products/product-catalog/view/dermatology-new/,Yes,No,,Knowledge & Skills
Desktop Support (New),/solutions/products/product-catalog/view/desktop-support-new/,Yes,No,8,Knowledge & Skills
Digital Advertising (New),/solutions/products/product-catalog/view/digital-advertising-new/,Yes,No,7,Knowledge & Skills
Digital Readiness Development Report - IC,/solutions/products/product-catalog/view/digital-readiness-development-report/,Yes,No,,Personality & Behavior
Digital Readiness Development Report - Manager,/solutions/products/product-catalog/view/digital-readiness-development-report-manager/,Yes,No,,Personality & Behavior
Docker (New),/solutions/products/product-catalog/view/docker-new/,Yes,No,10,Knowledge & Skills
Dojo (New),/solutions/products/product-catalog/view/dojo-new/,Yes,No,11,Knowledge & Skills
Drupal (New),/solutions/products/product-catalog/view/drupal-new/,Yes,No,17,Knowledge & Skills
DSI v1.1 Interpretation Report,/solutions/products/product-catalog/view/dsi-v1-1-interpretation-report/,Yes,No,,Personality & Behavior
Econometrics (New),/solutions/products/product-catalog/view/econometrics-new/,Yes,No,11,Knowledge & Skills
Economics (New),/solutions/products/product-catalog/view/economics-new/,Yes,No,13,Knowledge & Skills
Electrical and Electronics Engineering (New),/solutions/products/product-catalog/view/electrical-and-electronics-engineering-new/,Yes,No,14,Knowledge & Skills
Electrical Engineering (New),/solutions/products/product-catalog/view/electrical-engineering-new/,Yes,No,8,Knowledge & Skills
Electronics & Telecommunications Engineering (New),/solutions/products/product-catalog/view/electronics-and-telecommunications-engineering-new/,Yes,No,15,Knowledge & Skills
Electronics and Embedded Systems Engineering (New),/solutions/products/product-catalog/view/electronics-and-embedded-systems-engineering-new/,Yes,No,18,Knowledge & Skills
Electronics and Semiconductor Engineering (New),/solutions/products/product-catalog/view/electronics-and-semiconductor-engineering-new/,Yes,No,,Knowledge & Skills
English Comprehension (New),/solutions/products/product-catalog/view/english-comprehension-new/,Yes,No,0,Knowledge & Skills
Enterprise Java Beans (New),/solutions/products/product-catalog/view/enterprise-java-beans-new/,Yes,No,4,Knowledge & Skills
Enterprise Leadership Report 1.0,/solutions/products/product-catalog/view/enterprise-leadership-report/,Yes,No,,Personality & Behavior
Enterprise Leadership Report 2.0,/solutions/products/product-catalog/view/enterprise-leadership-report-2-0/,Yes,No,,Personality & Behavior
Entry Level Cashier Solution,/solutions/products/product-catalog/view/entry-level-cashier-solution/,Yes,No,19,"Competencies, Personality & Behavior"
Entry Level Customer Serv-Retail & Contact Center,/solutions/products/product-catalog/view/entry-level-customer-serv-retail-and-contact-center/,Yes,No,19,"Personality & Behavior, Competencies"
Entry Level Customer Service (General) Solution,/solutions/products/product-catalog/view/entry-level-customer-service-general-solution/,Yes,No,14,"Competencies, Personality & Behavior"
Entry Level Hotel Front Desk Solution,/solutions/products/product-catalog/view/entry-level-hotel-front-desk-solution/,Yes,No,20,"Competencies, Personality & Behavior"
Entry Level Sales Solution,/solutions/products/product-catalog/view/entry-level-sales-solution/,Yes,No,20,"Competencies, Personality & Behavior"
Entry Level Technical Support Solution,/solutions/products/product-catalog/view/entry-level-technical-support-solution/,Yes,No,18,"Personality & Behavior, Competencies"
ETL Testing (New),/solutions/products/product-catalog/view/etl-testing-new/,Yes,No,9,Knowledge & Skills
Executive Scenarios,/solutions/products/product-catalog/view/executive-scenarios/,Yes,No,,Biodata & Situational Judgement
Executive Scenarios Narrative Report,/solutions/products/product-catalog/view/executive-scenarios-narrative-report/,Yes,No,,Biodata & Situational Judgement
Production Engineering (New),/solutions/products/product-catalog/view/production-engineering-new/,Yes,No,10,Knowledge & Skills
Programming Concepts,/solutions/products/product-catalog/view/programming-concepts/,Yes,Yes,,Knowledge & Skills
Project Management (2013),/solutions/products/product-catalog/view/project-management-2013/,Yes,Yes,30,Knowledge & Skills
Proofreading v1,/solutions/products/product-catalog/view/proofreading-v1/,Yes,No,6,Knowledge & Skills
Python (New),/solutions/products/product-catalog/view/python-new/,Yes,No,,Knowledge & Skills
R Programming (New),/solutions/products/product-catalog/view/r-programming-new/,Yes,No,,Knowledge & Skills
ReactJS (New),/solutions/products/product-catalog/view/reactjs-new/,Yes,No,10,Knowledge & Skills
Reading Comprehension - English v1,/solutions/products/product-catalog/view/reading-comprehension-english-v1/,Yes,Yes,,Ability & Aptitude
Reading Comprehension - Spanish v1,/solutions/products/product-catalog/view/reading-comprehension-spanish-v1/,Yes,Yes,,Ability & Aptitude
Reading Comprehension v2,/solutions/products/product-catalog/view/reading-comprehension-v2/,Yes,Yes,,Ability & Aptitude
RemoteWorkQ,/solutions/products/product-catalog/view/remoteworkq/,Yes,No,,Competencies
RemoteWorkQ Manager Report,/solutions/products/product-catalog/view/remoteworkq-manager-report/,Yes,No,,Competencies
Fundamentals of Chemistry (New),/solutions/products/product-catalog/view/fundamentals-of-chemistry-new/,Yes,No,8,Knowledge & Skills
Fundamentals of Physics (New),/solutions/products/product-catalog/view/fundamentals-of-physics-new/,Yes,No,8,Knowledge & Skills
General Diseases (New),/solutions/products/product-catalog/view/general-diseases-new/,Yes,No,5,Knowledge & Skills
Geoinformatics Engineering (New),/solutions/products/product-catalog/view/geoinformatics-engineering-new/,Yes,No,10,Knowledge & Skills
Geoscience Engineering (New),/solutions/products/product-catalog/view/geoscience-engineering-new/,Yes,No,8,Knowledge & Skills
GIT (New),/solutions/products/product-catalog/view/git-new/,Yes,No,13,Knowledge & Skills
Global Skills Assessment,/solutions/products/product-catalog/view/global-skills-assessment/,Yes,No,16,"Competencies, Knowledge & Skills"
Graduate Scenarios,/solutions/products/product-catalog/view/graduate-scenarios/,Yes,No,,Biodata & Situational Judgement
Graduate Scenarios Narrative Report,/solutions/products/product-catalog/view/graduate-scenarios-narrative-report/,Yes,No,,Biodata & Situational Judgement
Graduate Scenarios Profile Report,/solutions/products/product-catalog/view/graduate-scenarios-profile-report/,Yes,No,,Biodata & Situational Judgement
Hibernate (New),/solutions/products/product-catalog/view/hibernate-new/,Yes,No,5,Knowledge & Skills
HIPAA (Security),/solutions/products/product-catalog/view/hipaa-security/,Yes,Yes,15,Knowledge & Skills
HiPo Assessment Report 1.0,/solutions/products/product-catalog/view/hipo-assessment-report-1-0/,Yes,No,,"Competencies, Personality & Behavior"
HiPo Assessment Report 2.0,/solutions/products/product-catalog/view/hipo-assessment-report-2-0/,Yes,No,,"Competencies, Personality & Behavior"
HiPo Unlocking Potential Report 2.0,/solutions/products/product-catalog/view/hipo-unlocking-potential-report-2-0/,Yes,No,,Competencies
Housekeeping (New),/solutions/products/product-catalog/view/housekeeping-new/,Yes,No,7,Knowledge & Skills
HTML/CSS (New),/solutions/products/product-catalog/view/htmlcss-new/,Yes,No,12,Knowledge & Skills
HTML5 (New),/solutions/products/product-catalog/view/html5-new/,Yes,No,11,Knowledge & Skills
Human Resources (New),/solutions/products/product-catalog/view/human-resources-new/,Yes,No,8,Knowledge & Skills
IBM DataStage (New),/solutions/products/product-catalog/view/ibm-datastage-new/,Yes,No,15,Knowledge & Skills
IBM Sterling Order Management System (New),/solutions/products/product-catalog/view/ibm-sterling-order-management-system-new/,Yes,No,13,Knowledge & Skills
Industrial Engineering (New),/solutions/products/product-catalog/view/industrial-engineering-new/,Yes,No,9,Knowledge & Skills
Informatica (Architecture) (New),/solutions/products/product-catalog/view/informatica-architecture-new/,Yes,No,,Knowledge & Skills
Informatica (Developer) (New),/solutions/products/product-catalog/view/informatica-developer-new/,Yes,No,,Knowledge & Skills
Instrumentation Engineering (New),/solutions/products/product-catalog/view/instrumentation-engineering-new/,Yes,No,12,Knowledge & Skills
Interpersonal Communications,/solutions/products/product-catalog/view/interpersonal-communications/,Yes,Yes,15,Knowledge & Skills
Interviewing and Hiring Concepts (U.S.),/solutions/products/product-catalog/view/interviewing-and-hiring-concepts-u-s/,Yes,Yes,15,Knowledge & Skills
iOS Development (New),/solutions/products/product-catalog/view/ios-development-new/,Yes,No,7,Knowledge & Skills
ITIL (IT Infrastructure Library) (New),/solutions/products/product-catalog/view/itil-it-infrastructure-library-new/,Yes,No,8,Knowledge & Skills
Java 2 Platform Enterprise Edition 1.4 Fundamental,/solutions/products/product-catalog/view/java-2-platform-enterprise-edition-1-4-fundamental/,Yes,Yes,30,Knowledge & Skills
Java 8 (New),/solutions/products/product-catalog/view/java-8-new/,Yes,No,18,Knowledge & Skills
Java Design Patterns (New),/solutions/products/product-catalog/view/java-design-patterns-new/,Yes,No,5,Knowledge & Skills
Java Frameworks (New),/solutions/products/product-catalog/view/java-frameworks-new/,Yes,No,17,Knowledge & Skills
Java Platform Enterprise Edition 7 (Java EE 7),/solutions/products/product-catalog/view/java-platform-enterprise-edition-7-java-ee-7/,Yes,Yes,30,Knowledge & Skills
Java Web Services (New),/solutions/products/product-catalog/view/java-web-services-new/,Yes,No,8,Knowledge & Skills
JavaScript (New),/solutions/products/product-catalog/view/javascript-new/,Yes,No,,Knowledge & Skills
Jenkins (New),/solutions/products/product-catalog/view/jenkins-new/,Yes,No,6,Knowledge & Skills
Job Control Language (New),/solutions/products/product-catalog/view/job-control-language-new/,Yes,No,10,Knowledge & Skills
jQuery (New),/solutions/products/product-catalog/view/jquery-new/,Yes,No,10,Knowledge & Skills
Kubernetes (New),/solutions/products/product-catalog/view/kubernetes-new/,Yes,No,6,Knowledge & Skills
Linux Administration (New),/solutions/products/product-catalog/view/linux-administration-new/,Yes,No,,Knowledge & Skills
Linux Operating System,/solutions/products/product-catalog/view/linux-operating-system/,Yes,No,15,Knowledge & Skills
Linux Programming (General),/solutions/products/product-catalog/view/linux-programming-general/,Yes,Yes,,Knowledge & Skills
Load Runner (New),/solutions/products/product-catalog/view/load-runner-new/,Yes,No,6,Knowledge & Skills
Management Scenarios,/solutions/products/product-catalog/view/management-scenarios/,Yes,No,,Biodata & Situational Judgement
Managerial Scenarios Candidate Report,/solutions/products/product-catalog/view/managerial-scenarios-candidate-report/,Yes,No,,Biodata & Situational Judgement
Managerial Scenarios Narrative Report,/solutions/products/product-catalog/view/managerial-scenarios-narrative-report/,Yes,No,,Biodata & Situational Judgement
Managerial Scenarios Profile Report,/solutions/products/product-catalog/view/managerial-scenarios-profile-report/,Yes,No,,Biodata & Situational Judgement
Manual Testing (New),/solutions/products/product-catalog/view/manual-testing-new/,Yes,No,10,Knowledge & Skills
Manufac. & Indust. - Mechanical & Vigilance 8.0,/solutions/products/product-catalog/view/mechanical-and-vigilance-focus-8-0/,Yes,No,49,"Ability & Aptitude, Personality & Behavior"
Manufac. & Indust. - Safety & Dependability 8.0,/solutions/products/product-catalog/view/safety-and-dependability-focus-8-0/,Yes,No,16,Personality & Behavior
Manufacturing & Industrial - Essential Focus 8.0,/solutions/products/product-catalog/view/essential-focus-8-0/,Yes,No,16,Personality & Behavior
Manufacturing & Industrial - Mechanical Focus 8.0,/solutions/products/product-catalog/view/mechanical-focus-8-0/,Yes,No,31,"Ability & Aptitude, Personality & Behavior"
Manufacturing & Industrial - Vigilance Focus 8.0,/solutions/products/product-catalog/view/vigilance-focus-8-0/,Yes,No,34,"Ability & Aptitude, Personality & Behavior"
Marketing (New),/solutions/products/product-catalog/view/marketing-new/,Yes,No,9,Knowledge & Skills
Maven (New),/solutions/products/product-catalog/view/maven-new/,Yes,No,7,Knowledge & Skills
Mechanical Engineering (New),/solutions/products/product-catalog/view/mechanical-engineering-new/,Yes,No,7,Knowledge & Skills
Mechatronics Engineering (New),/solutions/products/product-catalog/view/mechatronics-engineering-new/,Yes,No,19,Knowledge & Skills
Medical Terminology (New),/solutions/products/product-catalog/view/medical-terminology-new/,Yes,No,3,Knowledge & Skills
Metallurgical Engineering (New),/solutions/products/product-catalog/view/metallurgical-engineering-new/,Yes,No,10,Knowledge & Skills
MFS 360 Enterprise Leadership Report,/solutions/products/product-catalog/view/mfs-360-enterprise-leadership-report/,Yes,No,,Development & 360
MFS 360 UCF Group Report,/solutions/products/product-catalog/view/mfs-360-ucf-group-report/,Yes,No,,Development & 360
MFS 360 UCF Performance Potential Dev Tips Report,/solutions/products/product-catalog/view/mfs-360-ucf-performance-potential-dev-tips-report/,Yes,No,,Development & 360
MFS 360 UCF Standard Report,/solutions/products/product-catalog/view/mfs-360-ucf-standard-report/,Yes,No,,Development & 360
Micro Focus Unified Functional Testing (New),/solutions/products/product-catalog/view/micro-focus-unified-functional-testing-new/,Yes,No,12,Knowledge & Skills
Microservices (New),/solutions/products/product-catalog/view/microservices-new/,Yes,No,7,Knowledge & Skills
Microsoft Dynamics Development (New),/solutions/products/product-catalog/view/microsoft-dynamics-development-new/,Yes,No,,Knowledge & Skills
Microsoft Excel 365 - Essentials (New),/solutions/products/product-catalog/view/microsoft-excel-365-essentials-new/,Yes,No,30,"Knowledge & Skills, Simulations"
Microsoft Excel 365 (New),/solutions/products/product-catalog/view/microsoft-excel-365-new/,Yes,No,35,"Knowledge & Skills, Simulations"
Microsoft Outlook 2013 (adaptive),/solutions/products/product-catalog/view/microsoft-outlook-2013-adaptive/,Yes,Yes,25,Knowledge & Skills
Microsoft PowerPoint 365 - Essentials (New),/solutions/products/product-catalog/view/microsoft-powerpoint-365-essentials-new/,Yes,No,25,"Knowledge & Skills, Simulations"
Microsoft SQL Server 2014 Programming,/solutions/products/product-catalog/view/microsoft-sql-server-2014-programming/,Yes,Yes,2014,Knowledge & Skills
Microsoft Windows Server 2012 Administration,/solutions/products/product-catalog/view/microsoft-windows-server-2012-administration/,Yes,Yes,2012,Knowledge & Skills
Microsoft Word 365 - Essentials (New),/solutions/products/product-catalog/view/microsoft-word-365-essentials-new/,Yes,No,25,"Knowledge & Skills, Simulations"
Microsoft Word 365 (New),/solutions/products/product-catalog/view/microsoft-word-365-new/,Yes,No,35,"Simulations, Knowledge & Skills"
Mineral Engineering (New),/solutions/products/product-catalog/view/mineral-engineering-new/,Yes,No,,Knowledge & Skills
Mining Engineering (New),/solutions/products/product-catalog/view/mining-engineering-new/,Yes,No,,Knowledge & Skills
Mobility (New),/solutions/products/product-catalog/view/mobility-new/,Yes,No,9,Knowledge & Skills
Molecular Biology (New),/solutions/products/product-catalog/view/molecular-biology-new/,Yes,No,6,Knowledge & Skills
MongoDB (New),/solutions/products/product-catalog/view/mongodb-new/,Yes,No,7,Knowledge & Skills
Motivation Questionnaire MQM5,/solutions/products/product-catalog/view/motivation-questionnaire-mqm5/,Yes,No,25,Personality & Behavior
MQ Candidate Motivation Report,/solutions/products/product-catalog/view/mq-candidate-motivation-report/,Yes,No,,Personality & Behavior
MQ Employee Motivation Report,/solutions/products/product-catalog/view/mq-employee-motivation-report/,Yes,No,,Personality & Behavior
MQ Motivation Report Pack,/solutions/products/product-catalog/view/mq-motivation-report-pack/,Yes,No,,Personality & Behavior
MQ Profile,/solutions/products/product-catalog/view/mq-profile/,Yes,No,,Personality & Behavior
MS Access (New),/solutions/products/product-catalog/view/ms-access-new/,Yes,No,,Knowledge & Skills
MS Excel (New),/solutions/products/product-catalog/view/ms-excel-new/,Yes,No,6,Knowledge & Skills
MS Office Basic Computer Literacy (New),/solutions/products/product-catalog/view/ms-office-basic-computer-literacy-new/,Yes,No,7,Knowledge & Skills
MS Office Basic Computer Literacy (Sim) (New),/solutions/products/product-catalog/view/ms-office-basic-computer-literacy-sim-new/,Yes,No,5,Simulations
MS PowerPoint (New),/solutions/products/product-catalog/view/ms-powerpoint-new/,Yes,No,4,Knowledge & Skills
MS Word (New),/solutions/products/product-catalog/view/ms-word-new/,Yes,No,4,Knowledge & Skills
MuleSoft Development (New),/solutions/products/product-catalog/view/mulesoft-development-new/,Yes,No,17,Knowledge & Skills
Multitasking Ability,/solutions/products/product-catalog/view/multitasking-ability/,Yes,No,20,"Ability & Aptitude, Knowledge & Skills, Simulations"
Networking and Implementation (New),/solutions/products/product-catalog/view/networking-and-implementation-new/,Yes,No,7,Knowledge & Skills
Node.js (New),/solutions/products/product-catalog/view/node-js-new/,Yes,No,9,Knowledge & Skills
Nursing (New),/solutions/products/product-catalog/view/nursing-new/,Yes,No,11,Knowledge & Skills
Occupational Personality Questionnaire OPQ32r,/solutions/products/product-catalog/view/occupational-personality-questionnaire-opq32r/,Yes,No,25,Personality & Behavior
Operations Management (New),/solutions/products/product-catalog/view/operations-management-new/,Yes,No,7,Knowledge & Skills
OPQ Candidate Plus Report,/solutions/products/product-catalog/view/opq-candidate-plus-report/,Yes,No,,Personality & Behavior
OPQ Candidate Report 2.0,/solutions/products/product-catalog/view/opq-candidate-report-2-0/,Yes,No,,Personality & Behavior
OPQ Emotional Intelligence Report,/solutions/products/product-catalog/view/opq-emotional-intelligence-report/,Yes,No,,Personality & Behavior
OPQ Leadership Report,/solutions/products/product-catalog/view/opq-leadership-report/,Yes,No,,Personality & Behavior
OPQ Manager Plus Report,/solutions/products/product-catalog/view/opq-manager-plus-report/,Yes,No,,Personality & Behavior
