Assessment Name,URL,Remote Testing Support,Adaptive/IRT Support,Duration,Test Type
Branch Manager - Short Form,/solutions/products/product-catalog/view/branch-manager-short-form/,Yes,No,Approximate Completion Time in minutes = 50,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior"
Cashier Solution,/solutions/products/product-catalog/view/cashier-solution/,Yes,Yes,Approximate Completion Time in minutes = 28,"Biodata & Situational Judgement, Ability & Aptitude, Personality & Behavior"
Global Skills Development Report,/solutions/products/product-catalog/view/global-skills-development-report/,Yes,No,N/A,"Ability & Aptitude, Assessment Exercises, Biodata & Situational Judgement, Competencies, Development & 360, Personality & Behavior"
.NET Framework 4.5,/solutions/products/product-catalog/view/net-framework-4-5/,Yes,Yes,Approximate Completion Time in minutes = 30,Knowledge & Skills
.NET MVC (New),/solutions/products/product-catalog/view/net-mvc-new/,Yes,No,Approximate Completion Time in minutes = 17,Knowledge & Skills
.NET MVVM (New),/solutions/products/product-catalog/view/net-mvvm-new/,Yes,No,Approximate Completion Time in minutes = 5,Knowledge & Skills
.NET WCF (New),/solutions/products/product-catalog/view/net-wcf-new/,Yes,No,"Multi-choice test that measures the knowledge of .NET fundamentals, WCF architecture, programming model, SOA, managing and programming WCF.",Knowledge & Skills
.NET WPF (New),/solutions/products/product-catalog/view/net-wpf-new/,Yes,No,Approximate Completion Time in minutes = 9,Knowledge & Skills
.NET XAML (New),/solutions/products/product-catalog/view/net-xaml-new/,Yes,No,Approximate Completion Time in minutes = 5,Knowledge & Skills
Accounts Payable (New),/solutions/products/product-catalog/view/accounts-payable-new/,Yes,No,Approximate Completion Time in minutes = 9,Knowledge & Skills
Accounts Payable Simulation (New),/solutions/products/product-catalog/view/accounts-payable-simulation-new/,Yes,No,Approximate Completion Time in minutes = 8,Simulations
Accounts Receivable (New),/solutions/products/product-catalog/view/accounts-receivable-new/,Yes,No,Approximate Completion Time in minutes = 13,Knowledge & Skills
Accounts Receivable Simulation (New),/solutions/products/product-catalog/view/accounts-receivable-simulation-new/,Yes,No,Approximate Completion Time in minutes = 8,Simulations
ADO.NET (New),/solutions/products/product-catalog/view/ado-net-new/,Yes,No,Approximate Completion Time in minutes = 10,Knowledge & Skills
Adobe Experience Manager (New),/solutions/products/product-catalog/view/adobe-experience-manager-new/,Yes,No,Approximate Completion Time in minutes = 17,Knowledge & Skills
Adobe Photoshop CC,/solutions/products/product-catalog/view/adobe-photoshop-cc/,Yes,Yes,Approximate Completion Time in minutes = 20,Knowledge & Skills
Aeronautical Engineering (New),/solutions/products/product-catalog/view/aeronautical-engineering-new/,Yes,No,Approximate Completion Time in minutes = 10,Knowledge & Skills
Aerospace Engineering (New),/solutions/products/product-catalog/view/aerospace-engineering-new/,Yes,No,Approximate Completion Time in minutes = 10,Knowledge & Skills
Agile Software Development,/solutions/products/product-catalog/view/agile-software-development/,Yes,No,Approximate Completion Time in minutes = 7 minutes,Knowledge & Skills
Agile Testing (New),/solutions/products/product-catalog/view/agile-testing-new/,Yes,No,Approximate Completion Time in minutes = 13,Knowledge & Skills
AI Skills,/solutions/products/product-catalog/view/ai-skills/,Yes,No,Approximate Completion Time in minutes = 16,Personality & Behavior
Amazon Web Services (AWS) Development (New),/solutions/products/product-catalog/view/amazon-web-services-aws-development-new/,Yes,No,Approximate Completion Time in minutes = 6,Knowledge & Skills
Android Development (New),/solutions/products/product-catalog/view/android-development-new/,Yes,No,Approximate Completion Time in minutes = 7,Knowledge & Skills
Angular 6 (New),/solutions/products/product-catalog/view/angular-6-new/,Yes,No,Approximate Completion Time in minutes = 11,Knowledge & Skills
AngularJS (New),/solutions/products/product-catalog/view/angularjs-new/,Yes,No,Approximate Completion Time in minutes = 9,Knowledge & Skills
Apache Hadoop (New),/solutions/products/product-catalog/view/apache-hadoop-new/,Yes,No,Approximate Completion Time in minutes = 7,Knowledge & Skills
Apache Hadoop Extensions (New),/solutions/products/product-catalog/view/apache-hadoop-extensions-new/,Yes,No,Approximate Completion Time in minutes = 9,Knowledge & Skills
Apache HBase (New),/solutions/products/product-catalog/view/apache-hbase-new/,Yes,No,"Multi-choice test that measures the knowledge of HBase concepts such as CAP theorem, ACID properties, HBase client API, MapReduce integration, configuration and administration.",Knowledge & Skills
Apache Hive (New),/solutions/products/product-catalog/view/apache-hive-new/,Yes,No,Approximate Completion Time in minutes = 5,Knowledge & Skills
Apache Kafka (New),/solutions/products/product-catalog/view/apache-kafka-new/,Yes,No,Approximate Completion Time in minutes = 6,Knowledge & Skills
Apache Pig (New),/solutions/products/product-catalog/view/apache-pig-new/,Yes,No,Approximate Completion Time in minutes = 6,Knowledge & Skills
Apache Spark (New),/solutions/products/product-catalog/view/apache-spark-new/,Yes,No,Approximate Completion Time in minutes = 8,Knowledge & Skills
ASP .NET with C# (New),/solutions/products/product-catalog/view/asp-net-with-c-new/,Yes,No,Approximate Completion Time in minutes = 13,Knowledge & Skills
ASP.NET 4.5,/solutions/products/product-catalog/view/asp-net-4-5/,Yes,Yes,"The ASP.NET 4.5 test measures knowledge of programming in the ASP.NET environment. Designed for experienced developers, but an average performer in this role should pass this test. This test includes the following topics: .NET Framework, Client-Side Programming, Data Access, Enhanced Runtime Features, Portals, Services and Mobile, Security, Troubleshooting and Optimization, Web Applications, and Web Forms.",Knowledge & Skills
Assessment and Development Center Exercises,/solutions/products/product-catalog/view/assessment-and-development-center-exercises/,Yes,No,Approximate Completion Time in minutes = Variable,Assessment Exercises
Automata - Fix (New),/solutions/products/product-catalog/view/automata-fix-new/,Yes,No,Approximate Completion Time in minutes = max 20,Simulations
Automata - SQL (New),/solutions/products/product-catalog/view/automata-sql-new/,Yes,No,Approximate Completion Time in minutes = max 30,Simulations
Automata (New),/solutions/products/product-catalog/view/automata-new/,Yes,No,Approximate Completion Time in minutes = max 45,Simulations
Automata Data Science (New),/solutions/products/product-catalog/view/automata-data-science-new/,Yes,No,Approximate Completion Time in minutes = max 60,Simulations
Automata Data Science Pro (New),/solutions/products/product-catalog/view/automata-data-science-pro-new/,Yes,No,Approximate Completion Time in minutes = max 60,Simulations
Automata Front End,/solutions/products/product-catalog/view/automata-front-end/,Yes,No,Approximate Completion Time in minutes = 30 minutes,Simulations
Automata Pro (New),/solutions/products/product-catalog/view/automata-pro-new/,Yes,No,Approximate Completion Time in minutes = max 60,Simulations
Automata Selenium,/solutions/products/product-catalog/view/automata-selenium/,Yes,No,Approximate Completion Time in minutes = 60,Simulations
Automation Anywhere RPA Development (New),/solutions/products/product-catalog/view/automation-anywhere-rpa-development-new/,Yes,No,Approximate Completion Time in minutes = 8,Knowledge & Skills
Automotive Engineering (New),/solutions/products/product-catalog/view/automotive-engineering-new/,Yes,No,Approximate Completion Time in minutes = 13,Knowledge & Skills
Basic Biology (New),/solutions/products/product-catalog/view/basic-biology-new/,Yes,No,Approximate Completion Time in minutes = 6,Knowledge & Skills
Basic Computer Literacy (Windows 10) (New),/solutions/products/product-catalog/view/basic-computer-literacy-windows-10-new/,Yes,No,"The Basic Computer Literacy (Windows 10) simulation measures knowledge of general computer terminology, processes, and applications and the ability to perform certain operations in a simulated environment resembling the actual application. This simulation consists of both multiple choice and simulation-based questions, and includes the following topics: Application Software, Computer Terms, Internet and Email, Managing Files, Operating System, and Parts of the Computer.","Simulations, Knowledge & Skills"
Basic Statistics (New),/solutions/products/product-catalog/view/basic-statistics-new/,Yes,No,Approximate Completion Time in minutes = 10,Knowledge & Skills
Biochemistry (New),/solutions/products/product-catalog/view/biochemistry-new/,Yes,No,"Multi-choice test that measures the knowledge of various bio-molecules like amino acids, proteins, enzymes, carbohydrates, vitamins and nucleic acids, and concepts of bioenergetics and metabolism.",Knowledge & Skills
Biotech Lab Techniques (New),/solutions/products/product-catalog/view/biotech-lab-techniques-new/,Yes,No,Approximate Completion Time in minutes = 5,Knowledge & Skills
BizTalk (New),/solutions/products/product-catalog/view/biztalk-new/,Yes,No,"Multi-choice test that measures the knowledge of BizTalk architecture, pipelines, adapters, business process techniques and BizTalk administration.",Knowledge & Skills
Business Communication (adaptive),/solutions/products/product-catalog/view/business-communication-adaptive/,Yes,Yes,Approximate Completion Time in minutes = 24,Knowledge & Skills
Business Communications,/solutions/products/product-catalog/view/business-communications/,Yes,No,Approximate Completion Time in minutes = 35,Knowledge & Skills
C Programming (New),/solutions/products/product-catalog/view/c-programming-new/,Yes,No,"Multi-choice test that measures the knowledge of C programming basics, functions, arrays, composed data types, and advanced C concepts like SLF, file handling and dynamic memory.",Knowledge & Skills
C# Programming (New),/solutions/products/product-catalog/view/c-programming-new-4039/,Yes,No,"Multi-choice test that measures the knowledge of C# programming structure, functions, collections, enumeration, exception handling, OOPs constructs, inheritance, event handling and operator overloading.",Knowledge & Skills
C++ Programming (New),/solutions/products/product-catalog/view/c-programming-new-4122/,Yes,No,Multi-choice test that measures the knowledge of programming in the C++ language and the ability to use the C++ standard library to write code.,Knowledge & Skills
Cardiology and Diabetes Management (New),/solutions/products/product-catalog/view/cardiology-and-diabetes-management-new/,Yes,No,Approximate Completion Time in minutes = 4,Knowledge & Skills
Ceramic Engineering (New),/solutions/products/product-catalog/view/ceramic-engineering-new/,Yes,No,Approximate Completion Time in minutes = 12,Knowledge & Skills
Chemical Engineering (New),/solutions/products/product-catalog/view/chemical-engineering-new/,Yes,No,Approximate Completion Time in minutes = 13,Knowledge & Skills
Cisco AppDynamics (New),/solutions/products/product-catalog/view/cisco-appdynamics-new/,Yes,No,Approximate Completion Time in minutes = 9,Knowledge & Skills
Civil Engineering (New),/solutions/products/product-catalog/view/civil-engineering-new/,Yes,No,Approximate Completion Time in minutes = 10,Knowledge & Skills
Cloud Computing (New),/solutions/products/product-catalog/view/cloud-computing-new/,Yes,No,Approximate Completion Time in minutes = 8,Knowledge & Skills
COBOL Programming (New),/solutions/products/product-catalog/view/cobol-programming-new/,Yes,No,"Multi-choice test that measures the knowledge of COBOL programming fundamentals, programming structure and different types of application processing.",Knowledge & Skills
Computer Science (New),/solutions/products/product-catalog/view/computer-science-new/,Yes,No,Approximate Completion Time in minutes = 12,Knowledge & Skills
Contact Center Call Simulation (New),/solutions/products/product-catalog/view/contact-center-call-simulation-new/,Yes,No,Approximate Completion Time in minutes = 15,Simulations
Conversational Multichat Simulation,/solutions/products/product-catalog/view/conversational-multichat-simulation/,Yes,No,Approximate Completion Time in minutes = 11,Simulations
Core Java (Advanced Level) (New),/solutions/products/product-catalog/view/core-java-advanced-level-new/,Yes,No,Approximate Completion Time in minutes = 13,Knowledge & Skills
Core Java (Entry Level) (New),/solutions/products/product-catalog/view/core-java-entry-level-new/,Yes,No,Approximate Completion Time in minutes = 13,Knowledge & Skills
Count Out The Money,/solutions/products/product-catalog/view/count-out-the-money/,Yes,Yes,Approximate Completion Time in minutes = 5,"Knowledge & Skills, Simulations"
CSS3 (New),/solutions/products/product-catalog/view/css3-new/,Yes,No,Approximate Completion Time in minutes = 8,Knowledge & Skills
Culinary Skills (New),/solutions/products/product-catalog/view/culinary-skills-new/,Yes,No,Approximate Completion Time in minutes = 7,Knowledge & Skills
Customer Service Phone Simulation,/solutions/products/product-catalog/view/customer-service-phone-simulation/,Yes,No,Approximate Completion Time in minutes = 20,"Biodata & Situational Judgement, Simulations"
Customer Service Phone Solution,/solutions/products/product-catalog/view/customer-service-phone-solution/,Yes,No,Approximate Completion Time in minutes = 30,"Biodata & Situational Judgement, Personality & Behavior, Simulations"
Cyber Risk (New),/solutions/products/product-catalog/view/cyber-risk-new/,Yes,No,Approximate Completion Time in minutes = 9,Knowledge & Skills
Data Entry (New),/solutions/products/product-catalog/view/data-entry-new/,Yes,No,Approximate Completion Time in minutes = 4,Simulations
Data Entry Alphanumeric Split Screen - US,/solutions/products/product-catalog/view/data-entry-alphanumeric-split-screen-us/,Yes,No,Approximate Completion Time in minutes = 5,Knowledge & Skills
Data Entry Numeric Split Screen - US,/solutions/products/product-catalog/view/data-entry-numeric-split-screen-us/,Yes,No,Approximate Completion Time in minutes = 5,Knowledge & Skills
Data Entry Ten Key Split Screen,/solutions/products/product-catalog/view/data-entry-ten-key-split-screen/,Yes,No,Approximate Completion Time in minutes = 3,Knowledge & Skills
Data Science (New),/solutions/products/product-catalog/view/data-science-new/,Yes,No,Approximate Completion Time in minutes = 14,Knowledge & Skills
Data Warehousing Concepts,/solutions/products/product-catalog/view/data-warehousing-concepts/,Yes,Yes,Approximate Completion Time in minutes = 25,Knowledge & Skills
Dependability and Safety Instrument (DSI),/solutions/products/product-catalog/view/dependability-and-safety-instrument-dsi/,Yes,No,Approximate Completion Time in minutes = 10,Personality & Behavior
Dermatology (New),/solutions/products/product-catalog/view/dermatology-new/,Yes,No,"Multi-choice test that measures the knowledge of various diseases related to skin, their symptoms, the drugs used to treat them, and different terminologies used in the field of dermatology.",Knowledge & Skills
Desktop Support (New),/solutions/products/product-catalog/view/desktop-support-new/,Yes,No,Approximate Completion Time in minutes = 8,Knowledge & Skills
Digital Advertising (New),/solutions/products/product-catalog/view/digital-advertising-new/,Yes,No,Approximate Completion Time in minutes = 7,Knowledge & Skills
Digital Readiness Development Report - IC,/solutions/products/product-catalog/view/digital-readiness-development-report/,Yes,No,N/A,Personality & Behavior
Digital Readiness Development Report - Manager,/solutions/products/product-catalog/view/digital-readiness-development-report-manager/,Yes,No,N/A,Personality & Behavior
Docker (New),/solutions/products/product-catalog/view/docker-new/,Yes,No,Approximate Completion Time in minutes = 10,Knowledge & Skills
Dojo (New),/solutions/products/product-catalog/view/dojo-new/,Yes,No,Approximate Completion Time in minutes = 11,Knowledge & Skills
Drupal (New),/solutions/products/product-catalog/view/drupal-new/,Yes,No,Approximate Completion Time in minutes = 17,Knowledge & Skills
DSI v1.1 Interpretation Report,/solutions/products/product-catalog/view/dsi-v1-1-interpretation-report/,Yes,No,N/A,Personality & Behavior
Econometrics (New),/solutions/products/product-catalog/view/econometrics-new/,Yes,No,Approximate Completion Time in minutes = 11,Knowledge & Skills
Economics (New),/solutions/products/product-catalog/view/economics-new/,Yes,No,Approximate Completion Time in minutes = 13,Knowledge & Skills
Electrical and Electronics Engineering (New),/solutions/products/product-catalog/view/electrical-and-electronics-engineering-new/,Yes,No,Approximate Completion Time in minutes = 14,Knowledge & Skills
Electrical Engineering (New),/solutions/products/product-catalog/view/electrical-engineering-new/,Yes,No,Approximate Completion Time in minutes = 8,Knowledge & Skills
Electronics & Telecommunications Engineering (New),/solutions/products/product-catalog/view/electronics-and-telecommunications-engineering-new/,Yes,No,Approximate Completion Time in minutes = 15,Knowledge & Skills
Electronics and Embedded Systems Engineering (New),/solutions/products/product-catalog/view/electronics-and-embedded-systems-engineering-new/,Yes,No,Approximate Completion Time in minutes = 18,Knowledge & Skills
Electronics and Semiconductor Engineering (New),/solutions/products/product-catalog/view/electronics-and-semiconductor-engineering-new/,Yes,No,"Multi-choice test that measures the knowledge of semiconductors, two terminal and three terminal devices, analog electronics, digital electronics and basics of VLSI.",Knowledge & Skills
English Comprehension (New),/solutions/products/product-catalog/view/english-comprehension-new/,Yes,No,Approximate Completion Time in minutes = 0,Knowledge & Skills
Enterprise Java Beans (New),/solutions/products/product-catalog/view/enterprise-java-beans-new/,Yes,No,Approximate Completion Time in minutes = 4,Knowledge & Skills
Enterprise Leadership Report 1.0,/solutions/products/product-catalog/view/enterprise-leadership-report/,Yes,No,N/A,Personality & Behavior
Enterprise Leadership Report 2.0,/solutions/products/product-catalog/view/enterprise-leadership-report-2-0/,Yes,No,N/A,Personality & Behavior
Entry Level Cashier Solution,/solutions/products/product-catalog/view/entry-level-cashier-solution/,Yes,No,Approximate Completion Time in minutes = 19,"Competencies, Personality & Behavior"
Entry Level Customer Serv-Retail & Contact Center,/solutions/products/product-catalog/view/entry-level-customer-serv-retail-and-contact-center/,Yes,No,Approximate Completion Time in minutes = 19,"Personality & Behavior, Competencies"
Entry Level Customer Service (General) Solution,/solutions/products/product-catalog/view/entry-level-customer-service-general-solution/,Yes,No,Approximate Completion Time in minutes = 14,"Competencies, Personality & Behavior"
Entry Level Hotel Front Desk Solution,/solutions/products/product-catalog/view/entry-level-hotel-front-desk-solution/,Yes,No,Approximate Completion Time in minutes = 20,"Competencies, Personality & Behavior"
Entry Level Sales Solution,/solutions/products/product-catalog/view/entry-level-sales-solution/,Yes,No,Approximate Completion Time in minutes = 20,"Competencies, Personality & Behavior"
Entry Level Technical Support Solution,/solutions/products/product-catalog/view/entry-level-technical-support-solution/,Yes,No,Approximate Completion Time in minutes = 18,"Personality & Behavior, Competencies"
ETL Testing (New),/solutions/products/product-catalog/view/etl-testing-new/,Yes,No,Approximate Completion Time in minutes = 9,Knowledge & Skills
Executive Scenarios,/solutions/products/product-catalog/view/executive-scenarios/,Yes,No,Approximate Completion Time in minutes = Untimed,Biodata & Situational Judgement
Executive Scenarios Narrative Report,/solutions/products/product-catalog/view/executive-scenarios-narrative-report/,Yes,No,N/A,Biodata & Situational Judgement
Production Engineering (New),/solutions/products/product-catalog/view/production-engineering-new/,Yes,No,Approximate Completion Time in minutes = 10,Knowledge & Skills
Programming Concepts,/solutions/products/product-catalog/view/programming-concepts/,Yes,Yes,"The Programming Concepts test measures knowledge of the core aspects of computer science programming that is valid across programming languages. Designed for all programmers, this test covers the following topics:  Algorithms, Complex Data Types, Data Access, Productivity and Quality, Program Flow, Program Structure, Programming Paradigms, User Interface, Variables, Data Types, and Operators.",Knowledge & Skills
Project Management (2013),/solutions/products/product-catalog/view/project-management-2013/,Yes,Yes,Approximate Completion Time in minutes = 30,Knowledge & Skills
Proofreading v1,/solutions/products/product-catalog/view/proofreading-v1/,Yes,No,Approximate Completion Time in minutes = 6,Knowledge & Skills
Python (New),/solutions/products/product-catalog/view/python-new/,Yes,No,"Multi-choice test that measures the knowledge of Python programming, databases, modules and library.",Knowledge & Skills
R Programming (New),/solutions/products/product-catalog/view/r-programming-new/,Yes,No,Multi-choice test that measures the knowledge of R programming and its application in statistics.,Knowledge & Skills
ReactJS (New),/solutions/products/product-catalog/view/reactjs-new/,Yes,No,Approximate Completion Time in minutes = 10,Knowledge & Skills
Reading Comprehension - English v1,/solutions/products/product-catalog/view/reading-comprehension-english-v1/,Yes,Yes,"The Reading Comprehension - English 
assessment provides a general measure of 
English reading comprehension. This test is 
comprised of items that contain a passage 
that you must read in order to answer the 
question being asked. The questions focus 
on the candidate's ability to demonstrate an 
understanding of the passage. Questions 
may be specific in nature, with answers that 
can be found almost word for word in the 
passage.  For example, the question may ask 
for a date, name or place that can be found by 
closely reading through the passage. 
Alternatively, the questions may be general in 
nature, with answers that can be determined 
only by fully understanding the meaning of the 
passage. ""What is the theme of the 
passage?"" or ""What is the mood of the 
author?"" are examples of general questions 
the candidate may be asked.",Ability & Aptitude
Reading Comprehension - Spanish v1,/solutions/products/product-catalog/view/reading-comprehension-spanish-v1/,Yes,Yes,"The Reading Comprehension - Spanish assessment provides a general measure of Spanish reading comprehension. This test is comprised of items that contain a passage that must read in order to answer the question being asked. The questions focus on the ability to demonstrate an understanding of the passage. Questions may be specific in nature, with answers that can be found almost word for word in the passage. For example, the question may ask for a date, name or place that can be found by closely reading through the passage. Alternatively, the questions may be general in nature, with answers that can be determined only by fully understanding the meaning of the passage. ""What is the theme of the passage?"" or ""What is the mood of the author?"" are examples of general questions that may be asked.",Ability & Aptitude
Reading Comprehension v2,/solutions/products/product-catalog/view/reading-comprehension-v2/,Yes,Yes,"The Reading Comprehension - English 
assessment provides a general measure of 
English reading comprehension. This test is 
comprised of items that contain a passage 
that you must read in order to answer the 
question being asked. The questions focus 
on the candidate's ability to demonstrate an 
understanding of the passage. Questions 
may be specific in nature, with answers that 
can be found almost word for word in the 
passage.  For example, the question may ask 
for a date, name or place that can be found by 
closely reading through the passage. 
Alternatively, the questions may be general in 
nature, with answers that can be determined 
only by fully understanding the meaning of the 
passage. ""What is the theme of the 
passage?"" or ""What is the mood of the 
author?"" are examples of general questions 
the candidate may be asked.",Ability & Aptitude
RemoteWorkQ,/solutions/products/product-catalog/view/remoteworkq/,Yes,No,"Using the Apta™ Architecture to focus on the relevant competency behaviors in the Universal Competency Framework, SHL developed the RemoteWorkQ to measure self-reported behavioral tendencies in competency areas that are important to performing effectively in remote work environments across three competency areas: 
o	Work Relationships
o	Work Habits
o	Self-Development & Well-Being
The RemoteWorkQ is intended for use across job families and levels for which working in a remote environment is important for the role. This report is designed to help you be more successful in a remote working environment by providing:
o	Insights into your identified strengths and potential risks for working remotely
o	Individualized coaching tips on how you can use your identified strengths to overcome risks",Competencies
RemoteWorkQ Manager Report,/solutions/products/product-catalog/view/remoteworkq-manager-report/,Yes,No,"Using the Apta™ Architecture to focus on the relevant competency behaviors in the Universal Competency Framework, SHL developed the RemoteWorkQ to measure self-reported behavioral tendencies in competency areas that are important to performing effectively in remote work environments across three competency areas: 
o	Work Relationships
o	Work Habits
o	Self-Development & Well-Being
The RemoteWorkQ is intended for use across job families and levels for which working in a remote environment is important for the role. This report is designed to help you be more successful in a remote working environment by providing:
o	Insights into your identified strengths and potential risks for working remotely
o	Individualized coaching tips on how you can use your identified strengths to overcome risks",Competencies
Fundamentals of Chemistry (New),/solutions/products/product-catalog/view/fundamentals-of-chemistry-new/,Yes,No,Approximate Completion Time in minutes = 8,Knowledge & Skills
Fundamentals of Physics (New),/solutions/products/product-catalog/view/fundamentals-of-physics-new/,Yes,No,Approximate Completion Time in minutes = 8,Knowledge & Skills
General Diseases (New),/solutions/products/product-catalog/view/general-diseases-new/,Yes,No,Approximate Completion Time in minutes = 5,Knowledge & Skills
Geoinformatics Engineering (New),/solutions/products/product-catalog/view/geoinformatics-engineering-new/,Yes,No,Approximate Completion Time in minutes = 10,Knowledge & Skills
Geoscience Engineering (New),/solutions/products/product-catalog/view/geoscience-engineering-new/,Yes,No,Approximate Completion Time in minutes = 8,Knowledge & Skills
GIT (New),/solutions/products/product-catalog/view/git-new/,Yes,No,Approximate Completion Time in minutes = 13,Knowledge & Skills
Global Skills Assessment,/solutions/products/product-catalog/view/global-skills-assessment/,Yes,No,Approximate Completion Time in minutes = 16,"Competencies, Knowledge & Skills"
Graduate Scenarios,/solutions/products/product-catalog/view/graduate-scenarios/,Yes,No,Approximate Completion Time in minutes = Untimed,Biodata & Situational Judgement
Graduate Scenarios Narrative Report,/solutions/products/product-catalog/view/graduate-scenarios-narrative-report/,Yes,No,N/A,Biodata & Situational Judgement
Graduate Scenarios Profile Report,/solutions/products/product-catalog/view/graduate-scenarios-profile-report/,Yes,No,N/A,Biodata & Situational Judgement
Hibernate (New),/solutions/products/product-catalog/view/hibernate-new/,Yes,No,Approximate Completion Time in minutes = 5,Knowledge & Skills
HIPAA (Security),/solutions/products/product-catalog/view/hipaa-security/,Yes,Yes,Approximate Completion Time in minutes = 15 to 35,Knowledge & Skills
HiPo Assessment Report 1.0,/solutions/products/product-catalog/view/hipo-assessment-report-1-0/,Yes,No,N/A,"Competencies, Personality & Behavior"
HiPo Assessment Report 2.0,/solutions/products/product-catalog/view/hipo-assessment-report-2-0/,Yes,No,N/A,"Competencies, Personality & Behavior"
HiPo Unlocking Potential Report 2.0,/solutions/products/product-catalog/view/hipo-unlocking-potential-report-2-0/,Yes,No,N/A,Competencies
Housekeeping (New),/solutions/products/product-catalog/view/housekeeping-new/,Yes,No,Approximate Completion Time in minutes = 7,Knowledge & Skills
HTML/CSS (New),/solutions/products/product-catalog/view/htmlcss-new/,Yes,No,Approximate Completion Time in minutes = 12,Knowledge & Skills
HTML5 (New),/solutions/products/product-catalog/view/html5-new/,Yes,No,Approximate Completion Time in minutes = 11,Knowledge & Skills
Human Resources (New),/solutions/products/product-catalog/view/human-resources-new/,Yes,No,Approximate Completion Time in minutes = 8,Knowledge & Skills
IBM DataStage (New),/solutions/products/product-catalog/view/ibm-datastage-new/,Yes,No,Approximate Completion Time in minutes = 15,Knowledge & Skills
IBM Sterling Order Management System (New),/solutions/products/product-catalog/view/ibm-sterling-order-management-system-new/,Yes,No,Approximate Completion Time in minutes = 13,Knowledge & Skills
Industrial Engineering (New),/solutions/products/product-catalog/view/industrial-engineering-new/,Yes,No,Approximate Completion Time in minutes = 9,Knowledge & Skills
Informatica (Architecture) (New),/solutions/products/product-catalog/view/informatica-architecture-new/,Yes,No,"Multi-choice test that measures the knowledge of data warehousing, server architecture and administration, and real time implementation with Informatica.",Knowledge & Skills
Informatica (Developer) (New),/solutions/products/product-catalog/view/informatica-developer-new/,Yes,No,"Multi-choice test that measures the knowledge of data warehousing, server architecture and administration, and real time implementation with Informatica.",Knowledge & Skills
